City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Ancud,CL,-41.8697,-73.8203,45.23,84,100,5.68,overcast clouds
135,Avarua,CK,-21.2078,-159.775,77.05,61,75,17.27,broken clouds
136,Balkanabat,TM,39.5108,54.3671,87.01,22,72,13.18,broken clouds
137,Hofn,IS,64.2539,-15.2082,51.73,92,100,18.81,overcast clouds
138,Kahului,US,20.8947,-156.47,87.82,65,20,24.16,few clouds
139,Dauphin,CA,51.1494,-100.0502,73.54,78,0,6.91,clear sky
140,Udachnyy,RU,66.4167,112.4,53.46,93,6,4.61,clear sky
141,Sangar,RU,63.9242,127.4739,69.4,55,19,2.04,few clouds
142,Hue,VN,16.4667,107.6,78.91,89,75,6.91,broken clouds
143,Sile,TR,41.1754,29.6133,77.58,73,35,5.99,scattered clouds
144,Waterloo,CA,43.4668,-80.5164,72.64,97,100,11.5,overcast clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,67,100,8.05,overcast clouds
146,Lagoa,PT,39.05,-27.9833,73.02,79,3,13.53,clear sky
147,Chaibasa,IN,22.5667,85.8167,77.88,95,100,14.07,overcast clouds
148,Ketchikan,US,55.3422,-131.6461,68.47,49,0,8.05,clear sky
149,Pevek,RU,69.7008,170.3133,42.91,69,80,12.3,broken clouds
150,Cururupu,BR,-1.8283,-44.8683,73.38,92,6,3.67,clear sky
151,El Centro,US,32.792,-115.563,100.74,25,25,12.37,scattered clouds
152,Tasiilaq,GL,65.6145,-37.6368,41.16,96,100,0.67,overcast clouds
153,Itarema,BR,-2.9248,-39.9167,76.73,82,3,13.6,clear sky
154,Usinsk,RU,65.9939,57.5281,58.53,65,100,8.12,overcast clouds
155,Edd,ER,13.9297,41.6925,87.62,73,99,5.32,light rain
156,Sisimiut,GL,66.9395,-53.6735,40.28,94,100,11.43,overcast clouds
157,Esperance,AU,-33.8667,121.9,54.95,69,43,16.35,scattered clouds
158,Kununurra,AU,-15.7667,128.7333,89.58,25,3,9.22,clear sky
159,Lata,PT,40.1629,-8.3327,60.31,90,0,2.53,clear sky
160,Denpasar,ID,-8.65,115.2167,74.86,94,75,1.14,broken clouds
161,Magadan,RU,59.5667,150.8,78.53,61,90,4.12,overcast clouds
162,Yilan,TW,24.757,121.753,93.06,55,0,7.09,clear sky
163,Lake Havasu City,US,34.4839,-114.3224,102.81,30,0,10.36,clear sky
164,Susuman,RU,62.7833,148.1667,68.56,53,100,6.38,overcast clouds
165,Nemuro,JP,43.3236,145.575,69.04,93,100,16.55,heavy intensity rain
166,Crotone,IT,39.0851,17.1178,77.2,69,41,12.3,scattered clouds
167,Mayahi,NE,13.9553,7.6712,81.45,61,100,8.55,overcast clouds
168,Shelopugino,RU,51.6514,117.5599,62.31,45,0,16.17,clear sky
169,Bintulu,MY,3.1667,113.0333,82.81,89,20,3.44,few clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,83,20,6.06,few clouds
171,Adrar,MR,20.5022,-10.0711,97.0,16,23,6.96,few clouds
172,Roebourne,AU,-20.7833,117.1333,76.21,28,73,14.83,broken clouds
173,Durban,ZA,-29.8579,31.0292,64.02,89,14,5.99,few clouds
174,Ballina,AU,-28.8667,153.5667,65.79,60,40,14.36,scattered clouds
175,Kushiro,JP,42.975,144.3747,76.15,94,75,4.61,light intensity shower rain
176,Tashtagol,RU,52.7657,87.8894,64.13,71,72,3.4,broken clouds
177,Yaan,NG,7.3833,8.5667,71.38,97,100,5.99,overcast clouds
178,Nemea,GR,37.8167,22.6667,78.22,50,0,7.11,clear sky
179,Galle,LK,6.0367,80.217,78.37,84,100,11.86,overcast clouds
180,Binabalian,PH,16.4202,119.9279,80.78,81,100,17.98,heavy intensity rain
181,Prince Rupert,CA,54.3161,-130.3201,66.29,61,0,14.97,clear sky
182,Freeport,US,40.6576,-73.5832,89.58,73,0,12.66,clear sky
183,Innisfail,AU,-17.5333,146.0333,69.03,76,99,9.13,overcast clouds
184,Krasnoselkup,RU,65.7,82.4667,74.16,61,0,10.25,clear sky
185,Port Hardy,CA,50.6996,-127.4199,64.58,68,20,10.36,few clouds
186,Lodja,CD,-3.4833,23.4333,70.99,50,0,1.19,clear sky
187,Yarovoye,RU,52.9273,78.58,67.57,65,100,9.35,overcast clouds
188,Cortez,US,37.3489,-108.5859,74.16,52,0,4.61,clear sky
189,Contamana,PE,-7.3333,-75.0167,75.7,83,10,2.15,clear sky
190,Karratha,AU,-20.7377,116.8463,74.66,33,83,16.04,broken clouds
191,Cozumel,MX,20.5083,-86.9458,82.99,84,40,5.01,scattered clouds
192,Latung,PH,5.5,120.8833,81.21,74,100,1.28,overcast clouds
193,Antalaha,MG,-14.9003,50.2788,68.56,80,96,7.99,overcast clouds
194,Jiwani,PK,25.05,61.7417,80.69,87,100,6.69,overcast clouds
195,Rio Grande,BR,-32.035,-52.0986,52.95,80,38,13.89,scattered clouds
196,Shimoda,JP,34.6667,138.95,88.16,75,90,14.34,overcast clouds
197,Kudahuvadhoo,MV,2.6708,72.8944,81.66,76,100,10.2,overcast clouds
198,Herat,AF,34.5,62.0,74.14,25,0,11.34,clear sky
199,Launceston,AU,-41.45,147.1667,55.62,69,5,5.75,clear sky
200,Namibe,AO,-15.1961,12.1522,62.15,91,0,4.81,clear sky
201,Yellowknife,CA,62.456,-114.3525,66.72,52,75,10.36,broken clouds
