City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Pundaguitan,PH,80.6,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
229,Weyburn,CA,79.02,clear sky,49.6668,-103.8511,Perfect Inns & Suites
232,Bengkulu,ID,82.58,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
234,Fort Morgan,US,78.22,broken clouds,40.2503,-103.8,Hampton Inn Fort Morgan
236,Kiunga,PG,84.49,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
241,Blairmore,CA,81.99,clear sky,49.6,-114.4353,Highwood Motel
246,Ingleside,US,86.04,scattered clouds,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
248,Mount Pleasant,US,80.98,clear sky,32.7941,-79.8626,Best Western Patriots Point
249,Turbat,PK,87.62,overcast clouds,26.0023,63.044,Mubashar Quarters
251,Umm Lajj,SA,86.32,broken clouds,25.0213,37.2685,Moon light Furnished Units
252,Tual,ID,78.15,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
253,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
254,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
259,The Valley,AI,83.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
264,Awbari,LY,81.5,clear sky,26.5921,12.7805,فندق أوباري
265,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
267,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
269,Longhua,CN,83.08,broken clouds,23.6137,114.1919,Huadu Hotel
272,Ewa Beach,US,89.55,clear sky,21.3156,-158.0072,Base Lodging
275,Gaya,IN,82.31,mist,24.7833,85.0,Hotel Viraat Inn Gaya
278,Nishihara,JP,89.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
281,Cumberland,US,82.9,clear sky,35.0502,-78.8664,American Eagle Inn
282,Yenotayevka,RU,77.0,overcast clouds,47.2456,47.0281,Hotel Voyage
284,Lorengau,PG,84.11,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Salalah,OM,75.29,heavy intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
289,Wichian Buri,TH,79.72,overcast clouds,15.6578,101.106,Mit Sali Hotel
